session_id,customer_id,ticket_in,ticket_out,session_loss,jackpot_contribution,timestamp
221db7d7,CUST_1000,103.96,35.48,68.48,5.2,2024-04-23 05:36:00
8c1eabf3,CUST_1000,67.15,2.57,64.58,3.36,2024-04-26 07:51:00
d13e1eee,CUST_1000,140.17,134.19,5.98,7.01,2024-04-23 19:16:00
6bbcfbf8,CUST_1000,53.61,37.27,16.34,2.68,2024-05-01 17:51:00
95a7e59d,CUST_1000,177.69,29.53,148.16,8.88,2024-05-19 03:03:00
e61cc3db,CUST_1000,137.75,136.46,1.29,6.89,2024-04-24 02:46:00
6d829849,CUST_1000,189.7,52.39,137.31,9.48,2024-05-19 04:06:00
fe2502d1,CUST_1001,216.24,191.49,24.75,10.81,2024-05-02 16:52:00
0a9575c2,CUST_1001,135.03,87.54,47.49,6.75,2024-05-15 05:20:00
8789ebd0,CUST_1001,117.23,23.61,93.62,5.86,2024-04-20 05:36:00
afe2beaf,CUST_1001,68.95,25.33,43.62,3.45,2024-04-21 06:26:00
6e60a807,CUST_1001,142.78,11.27,131.51,7.14,2024-05-15 13:01:00
932a4c0e,CUST_1002,269.35,162.6,106.75,13.47,2024-05-12 10:31:00
209b17ac,CUST_1002,184.45,182.31,2.14,9.22,2024-05-07 03:45:00
a73aed53,CUST_1002,297.91,56.95,240.96,14.9,2024-05-14 06:02:00
17490657,CUST_1002,164.72,80.0,84.72,8.24,2024-05-15 15:17:00
6ac6527c,CUST_1002,252.56,58.14,194.42,12.63,2024-05-07 05:54:00
140d0427,CUST_1002,158.52,64.99,93.53,7.93,2024-05-12 00:16:00
020ff8c9,CUST_1002,232.06,94.67,137.39,11.6,2024-05-12 04:17:00
50487e26,CUST_1002,288.54,73.98,214.56,14.43,2024-05-02 16:28:00
e54b6590,CUST_1003,164.35,146.03,18.32,8.22,2024-05-18 15:19:00
f012a1fd,CUST_1003,101.11,72.32,28.79,5.06,2024-04-23 21:28:00
8b61beb5,CUST_1003,272.99,63.46,209.53,13.65,2024-04-29 07:11:00
c04bc69b,CUST_1003,108.74,104.93,3.81,5.44,2024-05-03 13:47:00
4cbb6aa7,CUST_1003,125.16,119.73,5.43,6.26,2024-05-03 20:40:00
730242d6,CUST_1003,167.04,24.99,142.05,8.35,2024-04-26 21:48:00
deccd453,CUST_1003,283.66,39.77,243.89,14.18,2024-04-24 16:19:00
f5108e52,CUST_1004,67.64,13.31,54.33,3.38,2024-05-07 17:33:00
34b6e2f8,CUST_1004,186.75,87.89,98.86,9.34,2024-05-19 08:59:00
a4bcac6c,CUST_1004,290.03,225.64,64.39,14.5,2024-05-05 18:15:00
2ba0f176,CUST_1004,191.97,15.71,176.26,9.6,2024-04-21 07:42:00
9ee5140b,CUST_1004,297.01,224.96,72.05,14.85,2024-04-22 08:02:00
52af92e7,CUST_1004,111.52,45.48,66.04,5.58,2024-05-16 22:31:00
a5e19229,CUST_1005,147.96,79.07,68.89,7.4,2024-05-09 12:29:00
bd55ba12,CUST_1005,253.97,253.33,0.64,12.7,2024-05-12 15:27:00
0b2c6faf,CUST_1005,112.23,89.23,23.0,5.61,2024-04-23 04:40:00
ace3fa87,CUST_1005,159.29,64.58,94.71,7.96,2024-04-28 00:45:00
284748fc,CUST_1005,242.58,156.41,86.17,12.13,2024-05-05 15:21:00
54ed7e86,CUST_1005,252.42,147.94,104.48,12.62,2024-04-22 11:03:00
1af20096,CUST_1006,250.51,144.64,105.87,12.53,2024-05-18 06:45:00
f48c5919,CUST_1006,236.98,119.96,117.02,11.85,2024-05-18 17:48:00
66539f9d,CUST_1006,53.95,48.44,5.51,2.7,2024-05-14 23:19:00
652e5f91,CUST_1006,297.04,205.18,91.86,14.85,2024-05-04 09:27:00
737400c5,CUST_1006,142.9,120.79,22.11,7.15,2024-05-02 09:31:00
057c49b2,CUST_1006,63.2,56.36,6.84,3.16,2024-04-28 22:43:00
81d97ed3,CUST_1007,217.95,114.25,103.7,10.9,2024-05-02 13:07:00
243becff,CUST_1007,161.78,135.41,26.37,8.09,2024-05-12 02:20:00
7206be16,CUST_1007,121.51,50.62,70.89,6.08,2024-05-18 10:15:00
d585dfe1,CUST_1007,258.47,48.38,210.09,12.92,2024-04-28 04:50:00
44895b3d,CUST_1007,95.63,6.88,88.75,4.78,2024-05-03 07:09:00
c8ab8e3a,CUST_1007,216.84,48.42,168.42,10.84,2024-04-20 19:14:00
881003cf,CUST_1008,135.85,133.03,2.82,6.79,2024-05-10 13:13:00
b989fdb8,CUST_1008,50.62,45.01,5.61,2.53,2024-05-09 05:00:00
1db04e70,CUST_1008,69.42,24.12,45.3,3.47,2024-05-02 21:27:00
c29e243a,CUST_1008,269.54,4.11,265.43,13.48,2024-05-11 19:41:00
a0b4511f,CUST_1008,264.12,239.82,24.3,13.21,2024-05-01 10:44:00
e7e2c4bc,CUST_1008,191.68,13.67,178.01,9.58,2024-05-05 14:09:00
773accd4,CUST_1008,117.43,98.58,18.85,5.87,2024-05-04 00:25:00
2d177914,CUST_1009,268.55,90.29,178.26,13.43,2024-04-26 06:02:00
c28f521b,CUST_1009,281.7,83.01,198.69,14.09,2024-04-22 19:08:00
6aa995b6,CUST_1009,269.83,101.53,168.3,13.49,2024-05-11 12:00:00
84ebfb0e,CUST_1009,63.44,2.12,61.32,3.17,2024-04-28 16:56:00
987e2a14,CUST_1009,66.22,34.97,31.25,3.31,2024-04-28 23:46:00
ae03d572,CUST_1009,180.41,106.34,74.07,9.02,2024-05-09 07:57:00
21656a07,CUST_1009,83.75,1.0,82.75,4.19,2024-05-05 15:28:00
1e21521c,CUST_1009,167.51,32.64,134.87,8.38,2024-04-28 00:48:00
08eaeb6e,CUST_1010,113.43,39.96,73.47,5.67,2024-04-28 07:51:00
2faed9f7,CUST_1010,102.46,65.0,37.46,5.12,2024-04-24 07:29:00
bb4a08fe,CUST_1010,70.87,57.04,13.83,3.54,2024-04-25 16:00:00
28e3fb6c,CUST_1010,212.71,199.28,13.43,10.64,2024-05-17 01:26:00
7cfdfde8,CUST_1010,243.79,59.47,184.32,12.19,2024-05-09 11:03:00
0a498e47,CUST_1010,299.82,114.63,185.19,14.99,2024-05-09 23:36:00
99d1e46a,CUST_1011,180.91,8.91,172.0,9.05,2024-04-21 12:56:00
773ab1b0,CUST_1011,261.16,229.32,31.84,13.06,2024-04-28 20:52:00
3e366386,CUST_1011,291.69,159.77,131.92,14.58,2024-04-28 11:15:00
14ec528d,CUST_1011,176.41,75.4,101.01,8.82,2024-04-28 00:40:00
931c6d78,CUST_1011,175.45,50.18,125.27,8.77,2024-05-15 03:13:00
e5e99b2a,CUST_1011,114.44,71.26,43.18,5.72,2024-04-21 04:06:00
c109bed2,CUST_1012,261.65,90.22,171.43,13.08,2024-04-27 08:00:00
67a5652a,CUST_1012,192.55,118.22,74.33,9.63,2024-04-22 12:28:00
e8038a04,CUST_1012,219.69,82.12,137.57,10.98,2024-05-10 21:53:00
ebcc4ca3,CUST_1012,263.91,226.72,37.19,13.2,2024-05-06 22:05:00
ac378695,CUST_1012,225.74,211.46,14.28,11.29,2024-04-30 04:00:00
f6c7da95,CUST_1012,206.83,141.94,64.89,10.34,2024-05-16 15:40:00
fe7ab85d,CUST_1013,152.78,88.48,64.3,7.64,2024-04-25 23:23:00
172dd493,CUST_1013,53.66,40.23,13.43,2.68,2024-04-23 17:27:00
396b71a5,CUST_1013,70.44,3.84,66.6,3.52,2024-04-30 20:54:00
1a3ee5cf,CUST_1013,240.55,32.94,207.61,12.03,2024-04-21 06:53:00
d3016cc5,CUST_1013,129.73,43.45,86.28,6.49,2024-04-24 15:35:00
b55bdd8a,CUST_1014,170.79,142.11,28.68,8.54,2024-04-25 14:19:00
fa1a9bf3,CUST_1014,107.1,30.85,76.25,5.36,2024-04-30 05:46:00
4b0dadd0,CUST_1014,78.4,58.86,19.54,3.92,2024-05-19 16:50:00
e5e0a448,CUST_1014,258.89,131.59,127.3,12.94,2024-04-21 20:45:00
e6e2641b,CUST_1014,278.03,27.06,250.97,13.9,2024-05-16 06:02:00
4bbe36f9,CUST_1015,92.23,81.66,10.57,4.61,2024-04-27 21:40:00
cfd0a8ee,CUST_1015,140.3,100.36,39.94,7.02,2024-04-21 08:50:00
b1a2da20,CUST_1015,221.93,202.37,19.56,11.1,2024-05-14 00:46:00
7552a0a9,CUST_1015,186.86,160.59,26.27,9.34,2024-05-15 15:55:00
59631a3a,CUST_1015,269.3,245.02,24.28,13.47,2024-05-08 05:21:00
c7d726ff,CUST_1015,280.21,89.47,190.74,14.01,2024-05-07 18:55:00
fedfff06,CUST_1015,250.44,106.02,144.42,12.52,2024-05-12 08:19:00
888dfdb0,CUST_1016,126.57,114.82,11.75,6.33,2024-04-26 02:38:00
8d905631,CUST_1016,125.13,105.72,19.41,6.26,2024-05-15 02:22:00
3fc1c91d,CUST_1016,54.27,42.42,11.85,2.71,2024-05-17 10:07:00
8a103e2e,CUST_1016,98.15,54.9,43.25,4.91,2024-05-03 01:25:00
0e3914b8,CUST_1016,55.42,28.38,27.04,2.77,2024-05-05 13:43:00
4580930f,CUST_1016,58.72,36.58,22.14,2.94,2024-04-21 21:50:00
861c4906,CUST_1017,244.98,191.43,53.55,12.25,2024-05-04 20:39:00
471fd1dd,CUST_1017,94.1,9.18,84.92,4.71,2024-04-22 17:14:00
fe50be05,CUST_1017,162.31,29.57,132.74,8.12,2024-04-22 05:19:00
418fd7f6,CUST_1017,82.14,48.96,33.18,4.11,2024-04-24 18:14:00
12065d20,CUST_1017,266.27,108.75,157.52,13.31,2024-05-07 23:16:00
e477118b,CUST_1017,139.84,67.46,72.38,6.99,2024-05-09 00:09:00
f991fb39,CUST_1017,141.2,99.26,41.94,7.06,2024-04-28 13:27:00
e6dc5d57,CUST_1018,144.55,51.11,93.44,7.23,2024-04-22 01:55:00
1e3ba01a,CUST_1018,189.52,12.73,176.79,9.48,2024-05-03 17:10:00
a45781e8,CUST_1018,212.36,126.38,85.98,10.62,2024-05-06 09:22:00
3f8a9e37,CUST_1018,256.47,57.95,198.52,12.82,2024-05-17 00:55:00
877240d6,CUST_1018,190.07,142.58,47.49,9.5,2024-04-23 22:47:00
8cc44608,CUST_1018,116.23,109.92,6.31,5.81,2024-04-20 21:26:00
af1df7bf,CUST_1019,208.01,171.94,36.07,10.4,2024-05-16 10:35:00
32a85abb,CUST_1019,51.16,48.51,2.65,2.56,2024-04-22 13:20:00
efc0b8b1,CUST_1019,169.55,167.47,2.08,8.48,2024-05-12 01:03:00
45677e28,CUST_1019,158.56,145.85,12.71,7.93,2024-05-04 09:46:00
9f8728f6,CUST_1019,219.48,204.52,14.96,10.97,2024-05-06 22:10:00
6b626b0b,CUST_1019,283.3,119.29,164.01,14.17,2024-05-07 18:03:00
5cea5a20,CUST_1019,298.07,185.28,112.79,14.9,2024-05-01 01:08:00
5d7f10e4,CUST_1020,154.39,20.23,134.16,7.72,2024-04-20 13:27:00
d24d5e52,CUST_1020,130.94,19.39,111.55,6.55,2024-05-16 15:54:00
9d3a0520,CUST_1020,254.91,80.12,174.79,12.75,2024-05-18 01:29:00
08698a8e,CUST_1020,247.58,22.82,224.76,12.38,2024-05-03 04:58:00
6fa0e13b,CUST_1020,84.98,3.59,81.39,4.25,2024-04-24 19:08:00
76099ed0,CUST_1020,131.16,125.17,5.99,6.56,2024-04-20 16:46:00
2f162248,CUST_1020,204.68,164.94,39.74,10.23,2024-04-27 19:54:00
ea9a2b14,CUST_1021,187.77,150.14,37.63,9.39,2024-05-05 16:32:00
2fb170c4,CUST_1021,50.86,40.58,10.28,2.54,2024-04-27 09:27:00
7189449c,CUST_1021,129.3,28.23,101.07,6.47,2024-05-12 01:23:00
b6f8764f,CUST_1021,191.68,21.92,169.76,9.58,2024-05-14 03:42:00
314e86ad,CUST_1021,297.62,266.72,30.9,14.88,2024-04-29 21:15:00
4d29cec5,CUST_1021,268.65,108.21,160.44,13.43,2024-04-23 05:09:00
9568e0ac,CUST_1021,281.69,73.09,208.6,14.08,2024-04-27 16:54:00
844d7540,CUST_1021,134.68,95.7,38.98,6.73,2024-05-02 11:11:00
35a77b9d,CUST_1022,101.22,81.54,19.68,5.06,2024-05-07 02:33:00
c491663a,CUST_1022,190.79,171.0,19.79,9.54,2024-05-02 20:57:00
61d02f04,CUST_1022,108.85,23.53,85.32,5.44,2024-05-07 18:19:00
4c23a637,CUST_1022,248.18,140.37,107.81,12.41,2024-05-17 10:35:00
bc1ac8be,CUST_1022,157.22,10.91,146.31,7.86,2024-05-10 15:40:00
756994ea,CUST_1023,296.51,63.93,232.58,14.83,2024-05-01 08:45:00
e5002245,CUST_1023,262.81,85.85,176.96,13.14,2024-05-05 17:08:00
9a08f106,CUST_1023,252.56,24.81,227.75,12.63,2024-05-12 00:05:00
a7440cf0,CUST_1023,199.83,111.39,88.44,9.99,2024-05-17 16:07:00
7a8ba09c,CUST_1023,271.36,123.0,148.36,13.57,2024-05-15 17:14:00
4e08ae24,CUST_1024,94.23,18.31,75.92,4.71,2024-05-15 17:06:00
8729e804,CUST_1024,161.91,90.51,71.4,8.1,2024-05-01 19:35:00
ae6abe24,CUST_1024,182.89,100.56,82.33,9.14,2024-05-18 20:38:00
cad903d9,CUST_1024,284.35,100.78,183.57,14.22,2024-04-29 11:52:00
9e314301,CUST_1024,244.73,103.28,141.45,12.24,2024-05-13 13:37:00
62949ae9,CUST_1024,224.58,17.68,206.9,11.23,2024-05-15 05:48:00
111bf96b,CUST_1025,57.0,23.31,33.69,2.85,2024-05-05 03:04:00
90953798,CUST_1025,299.37,23.5,275.87,14.97,2024-04-21 05:50:00
3c59520e,CUST_1025,230.64,35.74,194.9,11.53,2024-05-12 17:15:00
1a6485d0,CUST_1025,241.95,237.45,4.5,12.1,2024-05-14 10:50:00
58bab05a,CUST_1025,94.27,31.37,62.9,4.71,2024-05-06 02:01:00
7936fdbe,CUST_1025,123.58,5.54,118.04,6.18,2024-05-10 21:34:00
37fd9ee2,CUST_1025,77.68,61.9,15.78,3.88,2024-05-14 14:38:00
e9c6f408,CUST_1025,225.1,38.61,186.49,11.26,2024-04-21 20:07:00
306edc72,CUST_1026,67.05,56.1,10.95,3.35,2024-05-06 09:22:00
5b704400,CUST_1026,270.68,93.15,177.53,13.53,2024-05-16 15:01:00
5d9b4b37,CUST_1026,54.88,47.86,7.02,2.74,2024-05-17 17:07:00
cd088acc,CUST_1026,151.8,84.8,67.0,7.59,2024-05-15 05:39:00
169bf8d9,CUST_1026,110.29,7.27,103.02,5.51,2024-05-05 02:58:00
a6caf26d,CUST_1026,276.5,178.66,97.84,13.83,2024-04-21 06:06:00
1ac9aebd,CUST_1027,154.06,130.28,23.78,7.7,2024-05-07 07:31:00
133c2762,CUST_1027,164.17,9.06,155.11,8.21,2024-05-02 13:11:00
48f9841a,CUST_1027,240.84,139.58,101.26,12.04,2024-04-28 00:40:00
2c5c215e,CUST_1027,105.42,45.82,59.6,5.27,2024-05-19 01:57:00
d587c672,CUST_1027,201.0,159.0,42.0,10.05,2024-05-08 19:01:00
4807aaf0,CUST_1028,183.34,1.38,181.96,9.17,2024-04-23 16:44:00
d5e0eee7,CUST_1028,256.95,16.11,240.84,12.85,2024-05-14 21:25:00
8e4498e1,CUST_1028,224.21,167.35,56.86,11.21,2024-05-12 15:53:00
c9a1e6a1,CUST_1028,216.37,98.93,117.44,10.82,2024-04-29 10:53:00
b726bb11,CUST_1028,224.91,66.91,158.0,11.25,2024-04-26 14:43:00
5976a6dc,CUST_1028,173.51,147.43,26.08,8.68,2024-04-22 17:19:00
bbeb12b6,CUST_1028,205.12,122.31,82.81,10.26,2024-05-10 17:35:00
1eca6ba1,CUST_1029,82.8,27.42,55.38,4.14,2024-04-27 01:27:00
6c70205e,CUST_1029,51.49,19.59,31.9,2.57,2024-04-25 13:11:00
382842c9,CUST_1029,107.39,74.95,32.44,5.37,2024-05-17 04:55:00
0fae0f63,CUST_1029,82.15,16.02,66.13,4.11,2024-05-10 16:49:00
508ced1a,CUST_1029,119.3,54.81,64.49,5.96,2024-05-10 14:02:00
997b9e25,CUST_1029,76.16,40.48,35.68,3.81,2024-04-30 12:21:00
12354b41,CUST_1029,129.44,33.77,95.67,6.47,2024-05-11 23:07:00
3f910e97,CUST_1030,71.83,21.38,50.45,3.59,2024-05-09 05:31:00
c3319342,CUST_1030,220.29,87.68,132.61,11.01,2024-05-09 19:04:00
7cacd2bd,CUST_1030,83.45,33.11,50.34,4.17,2024-05-02 08:00:00
a839727b,CUST_1030,51.84,33.6,18.24,2.59,2024-04-21 02:41:00
b074985f,CUST_1030,287.44,54.22,233.22,14.37,2024-05-09 17:43:00
bd4513b4,CUST_1030,101.37,33.74,67.63,5.07,2024-05-05 08:52:00
d910b146,CUST_1030,213.28,139.91,73.37,10.66,2024-05-19 18:09:00
7f92d1ff,CUST_1030,211.58,151.72,59.86,10.58,2024-05-17 23:49:00
8df81130,CUST_1031,256.67,36.59,220.08,12.83,2024-04-21 21:05:00
13a98d3e,CUST_1031,223.05,150.49,72.56,11.15,2024-05-03 21:01:00
74581359,CUST_1031,138.07,132.73,5.34,6.9,2024-04-29 10:06:00
ac918e18,CUST_1031,68.68,56.5,12.18,3.43,2024-05-09 09:04:00
ca981b94,CUST_1031,200.65,64.06,136.59,10.03,2024-04-22 03:49:00
cbab9e8a,CUST_1031,107.33,91.52,15.81,5.37,2024-05-05 18:38:00
c3d5b4ac,CUST_1031,289.25,141.44,147.81,14.46,2024-05-11 05:47:00
34f94292,CUST_1032,95.04,56.7,38.34,4.75,2024-05-13 15:51:00
d451291d,CUST_1032,117.27,60.82,56.45,5.86,2024-04-29 04:08:00
7f235388,CUST_1032,259.21,6.41,252.8,12.96,2024-05-03 13:58:00
f715284e,CUST_1032,149.32,52.01,97.31,7.47,2024-05-05 14:43:00
aad83f29,CUST_1032,137.08,0.63,136.45,6.85,2024-05-17 00:04:00
d06d5f9e,CUST_1033,142.49,61.5,80.99,7.12,2024-04-24 15:34:00
cc96530f,CUST_1033,158.79,11.36,147.43,7.94,2024-05-05 06:12:00
28d49bfd,CUST_1033,223.53,93.75,129.78,11.18,2024-05-05 08:40:00
