machine_id,timestamp,zone,usage_level
MACHINE_1,2024-04-20 16:07:00,Zone_D,0.39
MACHINE_1,2024-04-20 10:22:00,Zone_D,0.25
MACHINE_1,2024-04-20 13:07:00,Zone_D,0.71
MACHINE_1,2024-04-20 18:05:00,Zone_D,0.91
MACHINE_2,2024-04-20 15:37:00,Zone_D,0.96
MACHINE_2,2024-04-20 23:20:00,Zone_D,0.35
MACHINE_2,2024-04-20 11:20:00,Zone_D,0.61
MACHINE_2,2024-04-20 12:24:00,Zone_D,0.31
MACHINE_3,2024-04-20 20:20:00,Zone_B,0.58
MACHINE_3,2024-04-20 10:53:00,Zone_B,0.71
MACHINE_3,2024-04-20 20:38:00,Zone_B,0.75
MACHINE_4,2024-04-20 11:53:00,Zone_C,0.41
MACHINE_4,2024-04-20 16:01:00,Zone_C,0.21
MACHINE_4,2024-04-20 16:19:00,Zone_C,0.67
MACHINE_4,2024-04-20 13:57:00,Zone_C,0.92
MACHINE_5,2024-04-20 20:57:00,Zone_B,0.26
MACHINE_5,2024-04-20 21:47:00,Zone_B,0.88
MACHINE_5,2024-04-20 11:02:00,Zone_B,0.81
MACHINE_6,2024-04-20 22:32:00,Zone_D,0.83
MACHINE_6,2024-04-20 15:13:00,Zone_D,0.21
MACHINE_6,2024-04-20 11:09:00,Zone_D,0.68
MACHINE_6,2024-04-20 22:33:00,Zone_D,0.9
MACHINE_7,2024-04-20 23:32:00,Zone_A,0.89
MACHINE_7,2024-04-20 23:59:00,Zone_A,0.79
MACHINE_7,2024-04-20 16:44:00,Zone_A,0.56
MACHINE_7,2024-04-20 16:03:00,Zone_A,0.57
MACHINE_8,2024-04-20 17:30:00,Zone_C,0.42
MACHINE_8,2024-04-20 21:39:00,Zone_C,0.51
MACHINE_8,2024-04-20 15:48:00,Zone_C,0.62
MACHINE_8,2024-04-20 23:05:00,Zone_C,0.77
MACHINE_9,2024-04-20 16:51:00,Zone_A,0.64
MACHINE_9,2024-04-20 11:00:00,Zone_A,0.98
MACHINE_9,2024-04-20 18:38:00,Zone_A,0.86
MACHINE_9,2024-04-20 14:24:00,Zone_A,0.8
MACHINE_10,2024-04-20 15:30:00,Zone_A,0.28
MACHINE_10,2024-04-20 22:47:00,Zone_A,0.66
MACHINE_10,2024-04-20 13:23:00,Zone_A,0.75
MACHINE_10,2024-04-20 17:51:00,Zone_A,0.31
MACHINE_1,2024-04-21 10:20:00,Zone_B,0.61
MACHINE_1,2024-04-21 21:58:00,Zone_B,0.54
MACHINE_1,2024-04-21 19:16:00,Zone_B,0.8
MACHINE_1,2024-04-21 21:14:00,Zone_B,0.51
MACHINE_2,2024-04-21 20:03:00,Zone_B,0.78
MACHINE_2,2024-04-21 12:14:00,Zone_B,0.92
MACHINE_2,2024-04-21 11:24:00,Zone_B,0.41
MACHINE_3,2024-04-21 10:50:00,Zone_C,0.41
MACHINE_3,2024-04-21 22:57:00,Zone_C,0.43
MACHINE_3,2024-04-21 15:14:00,Zone_C,0.22
MACHINE_3,2024-04-21 13:53:00,Zone_C,0.67
MACHINE_3,2024-04-21 16:39:00,Zone_C,0.98
MACHINE_4,2024-04-21 12:55:00,Zone_B,0.6
MACHINE_4,2024-04-21 20:56:00,Zone_B,0.41
MACHINE_4,2024-04-21 18:52:00,Zone_B,0.94
MACHINE_4,2024-04-21 15:38:00,Zone_B,0.3
MACHINE_4,2024-04-21 11:31:00,Zone_B,0.32
MACHINE_5,2024-04-21 23:21:00,Zone_A,0.32
MACHINE_5,2024-04-21 10:25:00,Zone_A,0.93
MACHINE_5,2024-04-21 16:48:00,Zone_A,0.97
MACHINE_5,2024-04-21 19:25:00,Zone_A,0.63
MACHINE_5,2024-04-21 19:59:00,Zone_A,0.61
MACHINE_6,2024-04-21 13:06:00,Zone_B,0.67
MACHINE_6,2024-04-21 23:55:00,Zone_B,0.27
MACHINE_6,2024-04-21 23:06:00,Zone_B,0.95
MACHINE_7,2024-04-21 13:39:00,Zone_D,0.78
MACHINE_7,2024-04-21 23:51:00,Zone_D,0.77
MACHINE_7,2024-04-21 22:31:00,Zone_D,0.24
MACHINE_8,2024-04-21 16:35:00,Zone_C,0.65
MACHINE_8,2024-04-21 12:36:00,Zone_C,0.21
MACHINE_8,2024-04-21 13:37:00,Zone_C,0.36
MACHINE_9,2024-04-21 19:24:00,Zone_D,0.54
MACHINE_9,2024-04-21 13:02:00,Zone_D,0.79
MACHINE_9,2024-04-21 11:49:00,Zone_D,0.76
MACHINE_10,2024-04-21 19:29:00,Zone_B,0.87
MACHINE_10,2024-04-21 13:20:00,Zone_B,0.33
MACHINE_10,2024-04-21 22:22:00,Zone_B,0.87
MACHINE_10,2024-04-21 11:24:00,Zone_B,0.39
MACHINE_1,2024-04-22 19:29:00,Zone_A,0.48
MACHINE_1,2024-04-22 12:55:00,Zone_A,0.93
MACHINE_1,2024-04-22 22:25:00,Zone_A,0.85
MACHINE_1,2024-04-22 22:11:00,Zone_A,0.35
MACHINE_1,2024-04-22 10:02:00,Zone_A,0.32
MACHINE_2,2024-04-22 13:37:00,Zone_C,0.47
MACHINE_2,2024-04-22 12:41:00,Zone_C,0.41
MACHINE_2,2024-04-22 12:34:00,Zone_C,0.41
MACHINE_2,2024-04-22 16:30:00,Zone_C,0.6
MACHINE_2,2024-04-22 11:39:00,Zone_C,0.69
MACHINE_3,2024-04-22 12:52:00,Zone_B,0.23
MACHINE_3,2024-04-22 10:05:00,Zone_B,0.67
MACHINE_3,2024-04-22 10:06:00,Zone_B,0.67
MACHINE_3,2024-04-22 10:34:00,Zone_B,0.78
MACHINE_3,2024-04-22 23:07:00,Zone_B,0.64
MACHINE_4,2024-04-22 22:38:00,Zone_B,0.56
MACHINE_4,2024-04-22 23:14:00,Zone_B,0.49
MACHINE_4,2024-04-22 12:42:00,Zone_B,0.42
MACHINE_4,2024-04-22 15:42:00,Zone_B,0.83
MACHINE_4,2024-04-22 21:31:00,Zone_B,0.31
MACHINE_5,2024-04-22 20:17:00,Zone_C,0.89
MACHINE_5,2024-04-22 14:47:00,Zone_C,0.99
MACHINE_5,2024-04-22 19:27:00,Zone_C,0.58
MACHINE_5,2024-04-22 16:20:00,Zone_C,0.36
MACHINE_6,2024-04-22 10:03:00,Zone_D,0.72
MACHINE_6,2024-04-22 20:42:00,Zone_D,0.58
MACHINE_6,2024-04-22 17:36:00,Zone_D,0.71
MACHINE_7,2024-04-22 13:42:00,Zone_B,0.23
MACHINE_7,2024-04-22 23:07:00,Zone_B,0.38
MACHINE_7,2024-04-22 20:48:00,Zone_B,0.82
MACHINE_7,2024-04-22 19:55:00,Zone_B,0.95
MACHINE_8,2024-04-22 10:39:00,Zone_B,0.49
MACHINE_8,2024-04-22 23:30:00,Zone_B,0.44
MACHINE_8,2024-04-22 18:02:00,Zone_B,0.61
MACHINE_9,2024-04-22 10:59:00,Zone_C,0.53
MACHINE_9,2024-04-22 10:03:00,Zone_C,0.82
MACHINE_9,2024-04-22 13:21:00,Zone_C,0.64
MACHINE_9,2024-04-22 18:13:00,Zone_C,0.66
MACHINE_9,2024-04-22 16:33:00,Zone_C,0.28
MACHINE_10,2024-04-22 11:46:00,Zone_C,0.79
MACHINE_10,2024-04-22 21:27:00,Zone_C,0.21
MACHINE_10,2024-04-22 12:30:00,Zone_C,0.72
MACHINE_10,2024-04-22 14:38:00,Zone_C,0.62
MACHINE_10,2024-04-22 17:40:00,Zone_C,0.6
MACHINE_1,2024-04-23 18:09:00,Zone_D,0.34
MACHINE_1,2024-04-23 15:42:00,Zone_D,0.43
MACHINE_1,2024-04-23 22:29:00,Zone_D,0.27
MACHINE_1,2024-04-23 23:26:00,Zone_D,0.64
MACHINE_2,2024-04-23 14:51:00,Zone_B,0.35
MACHINE_2,2024-04-23 23:13:00,Zone_B,0.61
MACHINE_2,2024-04-23 18:25:00,Zone_B,0.5
MACHINE_2,2024-04-23 11:45:00,Zone_B,0.41
MACHINE_3,2024-04-23 21:27:00,Zone_C,0.39
MACHINE_3,2024-04-23 16:07:00,Zone_C,0.93
MACHINE_3,2024-04-23 19:54:00,Zone_C,0.22
MACHINE_3,2024-04-23 12:23:00,Zone_C,0.53
MACHINE_4,2024-04-23 22:43:00,Zone_A,0.23
MACHINE_4,2024-04-23 15:54:00,Zone_A,0.75
MACHINE_4,2024-04-23 21:37:00,Zone_A,0.79
MACHINE_5,2024-04-23 10:48:00,Zone_A,0.42
MACHINE_5,2024-04-23 13:06:00,Zone_A,0.21
MACHINE_5,2024-04-23 13:39:00,Zone_A,0.95
MACHINE_5,2024-04-23 12:26:00,Zone_A,0.23
MACHINE_6,2024-04-23 11:39:00,Zone_D,0.99
MACHINE_6,2024-04-23 15:23:00,Zone_D,0.58
MACHINE_6,2024-04-23 13:50:00,Zone_D,0.7
MACHINE_7,2024-04-23 18:41:00,Zone_B,0.7
MACHINE_7,2024-04-23 22:24:00,Zone_B,1.0
MACHINE_7,2024-04-23 19:42:00,Zone_B,0.9
MACHINE_8,2024-04-23 15:28:00,Zone_C,0.66
MACHINE_8,2024-04-23 14:12:00,Zone_C,0.65
MACHINE_8,2024-04-23 15:36:00,Zone_C,0.79
MACHINE_8,2024-04-23 23:39:00,Zone_C,0.47
MACHINE_9,2024-04-23 22:55:00,Zone_D,0.69
MACHINE_9,2024-04-23 23:28:00,Zone_D,0.48
MACHINE_9,2024-04-23 20:45:00,Zone_D,0.53
MACHINE_9,2024-04-23 10:04:00,Zone_D,0.32
MACHINE_10,2024-04-23 13:36:00,Zone_B,0.8
MACHINE_10,2024-04-23 13:37:00,Zone_B,0.3
MACHINE_10,2024-04-23 17:05:00,Zone_B,0.29
MACHINE_10,2024-04-23 17:56:00,Zone_B,0.4
MACHINE_1,2024-04-24 21:12:00,Zone_A,0.92
MACHINE_1,2024-04-24 19:48:00,Zone_A,0.58
MACHINE_1,2024-04-24 19:32:00,Zone_A,0.4
MACHINE_2,2024-04-24 23:37:00,Zone_A,1.0
MACHINE_2,2024-04-24 11:50:00,Zone_A,0.35
MACHINE_2,2024-04-24 18:57:00,Zone_A,0.75
MACHINE_2,2024-04-24 16:50:00,Zone_A,0.87
MACHINE_3,2024-04-24 19:50:00,Zone_A,0.98
MACHINE_3,2024-04-24 17:57:00,Zone_A,0.7
MACHINE_3,2024-04-24 21:46:00,Zone_A,0.46
MACHINE_4,2024-04-24 17:21:00,Zone_D,0.7
MACHINE_4,2024-04-24 17:51:00,Zone_D,0.44
MACHINE_4,2024-04-24 21:59:00,Zone_D,0.86
MACHINE_4,2024-04-24 13:54:00,Zone_D,0.79
MACHINE_5,2024-04-24 23:55:00,Zone_A,0.53
MACHINE_5,2024-04-24 21:31:00,Zone_A,0.96
MACHINE_5,2024-04-24 18:34:00,Zone_A,0.23
MACHINE_5,2024-04-24 17:39:00,Zone_A,0.87
MACHINE_5,2024-04-24 19:42:00,Zone_A,0.27
MACHINE_6,2024-04-24 19:56:00,Zone_B,0.64
MACHINE_6,2024-04-24 22:28:00,Zone_B,0.84
MACHINE_6,2024-04-24 23:03:00,Zone_B,0.54
MACHINE_6,2024-04-24 14:21:00,Zone_B,0.57
MACHINE_7,2024-04-24 19:06:00,Zone_A,0.65
MACHINE_7,2024-04-24 22:16:00,Zone_A,0.96
MACHINE_7,2024-04-24 16:39:00,Zone_A,0.87
MACHINE_7,2024-04-24 13:19:00,Zone_A,0.45
MACHINE_8,2024-04-24 23:10:00,Zone_A,0.57
MACHINE_8,2024-04-24 14:05:00,Zone_A,0.99
MACHINE_8,2024-04-24 22:23:00,Zone_A,0.4
MACHINE_8,2024-04-24 13:42:00,Zone_A,0.92
MACHINE_9,2024-04-24 14:39:00,Zone_A,0.3
MACHINE_9,2024-04-24 12:14:00,Zone_A,0.42
MACHINE_9,2024-04-24 11:16:00,Zone_A,0.85
MACHINE_10,2024-04-24 13:32:00,Zone_B,0.92
MACHINE_10,2024-04-24 21:48:00,Zone_B,0.26
MACHINE_10,2024-04-24 11:56:00,Zone_B,0.77
MACHINE_1,2024-04-25 12:23:00,Zone_A,0.64
MACHINE_1,2024-04-25 12:59:00,Zone_A,0.24
MACHINE_1,2024-04-25 23:27:00,Zone_A,0.99
MACHINE_1,2024-04-25 19:42:00,Zone_A,0.62
MACHINE_1,2024-04-25 18:06:00,Zone_A,0.68
MACHINE_2,2024-04-25 11:57:00,Zone_C,0.62
MACHINE_2,2024-04-25 11:40:00,Zone_C,0.91
MACHINE_2,2024-04-25 16:29:00,Zone_C,0.44
MACHINE_2,2024-04-25 13:35:00,Zone_C,0.68
MACHINE_2,2024-04-25 14:52:00,Zone_C,0.58
MACHINE_3,2024-04-25 14:11:00,Zone_B,0.29
MACHINE_3,2024-04-25 23:56:00,Zone_B,0.85
MACHINE_3,2024-04-25 16:54:00,Zone_B,0.5
MACHINE_3,2024-04-25 15:07:00,Zone_B,0.99
MACHINE_3,2024-04-25 20:51:00,Zone_B,0.23
MACHINE_4,2024-04-25 13:18:00,Zone_D,0.44
MACHINE_4,2024-04-25 16:49:00,Zone_D,0.61
MACHINE_4,2024-04-25 21:08:00,Zone_D,0.78
MACHINE_4,2024-04-25 16:19:00,Zone_D,0.37
MACHINE_5,2024-04-25 16:16:00,Zone_D,0.97
MACHINE_5,2024-04-25 15:12:00,Zone_D,0.27
MACHINE_5,2024-04-25 16:23:00,Zone_D,0.39
MACHINE_6,2024-04-25 18:50:00,Zone_D,0.79
MACHINE_6,2024-04-25 19:43:00,Zone_D,0.53
MACHINE_6,2024-04-25 16:12:00,Zone_D,0.48
MACHINE_6,2024-04-25 23:25:00,Zone_D,0.25
MACHINE_6,2024-04-25 22:55:00,Zone_D,0.49
MACHINE_7,2024-04-25 10:28:00,Zone_C,0.86
MACHINE_7,2024-04-25 15:04:00,Zone_C,0.39
MACHINE_7,2024-04-25 21:38:00,Zone_C,0.48
MACHINE_7,2024-04-25 10:59:00,Zone_C,0.75
MACHINE_8,2024-04-25 15:20:00,Zone_D,0.32
MACHINE_8,2024-04-25 16:51:00,Zone_D,0.52
MACHINE_8,2024-04-25 16:35:00,Zone_D,0.69
MACHINE_8,2024-04-25 23:48:00,Zone_D,0.75
MACHINE_9,2024-04-25 17:24:00,Zone_D,0.51
MACHINE_9,2024-04-25 19:33:00,Zone_D,0.82
MACHINE_9,2024-04-25 13:50:00,Zone_D,0.91
MACHINE_10,2024-04-25 18:31:00,Zone_C,0.75
MACHINE_10,2024-04-25 12:09:00,Zone_C,0.61
MACHINE_10,2024-04-25 17:34:00,Zone_C,0.88
MACHINE_1,2024-04-26 22:58:00,Zone_B,0.28
MACHINE_1,2024-04-26 23:10:00,Zone_B,0.48
MACHINE_1,2024-04-26 20:22:00,Zone_B,0.67
MACHINE_1,2024-04-26 19:56:00,Zone_B,0.56
MACHINE_1,2024-04-26 16:04:00,Zone_B,0.81
MACHINE_2,2024-04-26 23:11:00,Zone_B,0.61
MACHINE_2,2024-04-26 19:08:00,Zone_B,0.85
MACHINE_2,2024-04-26 16:19:00,Zone_B,0.38
MACHINE_2,2024-04-26 13:00:00,Zone_B,0.57
MACHINE_3,2024-04-26 15:19:00,Zone_B,0.46
MACHINE_3,2024-04-26 23:40:00,Zone_B,0.35
MACHINE_3,2024-04-26 23:03:00,Zone_B,0.81
MACHINE_3,2024-04-26 23:08:00,Zone_B,0.55
MACHINE_4,2024-04-26 16:52:00,Zone_C,0.89
MACHINE_4,2024-04-26 11:22:00,Zone_C,0.41
MACHINE_4,2024-04-26 21:24:00,Zone_C,0.99
MACHINE_5,2024-04-26 12:08:00,Zone_D,0.5
MACHINE_5,2024-04-26 23:22:00,Zone_D,0.72
MACHINE_5,2024-04-26 13:58:00,Zone_D,0.95
MACHINE_5,2024-04-26 22:05:00,Zone_D,0.6
MACHINE_6,2024-04-26 20:06:00,Zone_D,0.39
MACHINE_6,2024-04-26 18:39:00,Zone_D,0.5
MACHINE_6,2024-04-26 23:39:00,Zone_D,0.25
MACHINE_6,2024-04-26 20:13:00,Zone_D,0.48
MACHINE_7,2024-04-26 13:00:00,Zone_C,0.24
MACHINE_7,2024-04-26 23:15:00,Zone_C,0.53
MACHINE_7,2024-04-26 20:13:00,Zone_C,0.21
MACHINE_8,2024-04-26 11:09:00,Zone_C,0.75
MACHINE_8,2024-04-26 19:53:00,Zone_C,0.47
MACHINE_8,2024-04-26 22:19:00,Zone_C,0.79
MACHINE_8,2024-04-26 10:38:00,Zone_C,0.98
MACHINE_8,2024-04-26 19:03:00,Zone_C,0.84
MACHINE_9,2024-04-26 22:12:00,Zone_C,0.77
MACHINE_9,2024-04-26 21:47:00,Zone_C,0.42
MACHINE_9,2024-04-26 18:51:00,Zone_C,0.56
MACHINE_9,2024-04-26 14:25:00,Zone_C,0.47
MACHINE_10,2024-04-26 17:03:00,Zone_A,0.8
MACHINE_10,2024-04-26 15:53:00,Zone_A,0.49
MACHINE_10,2024-04-26 19:31:00,Zone_A,0.48
MACHINE_10,2024-04-26 14:33:00,Zone_A,0.76
MACHINE_10,2024-04-26 22:04:00,Zone_A,0.31
MACHINE_1,2024-04-27 19:45:00,Zone_C,0.41
MACHINE_1,2024-04-27 18:26:00,Zone_C,0.59
MACHINE_1,2024-04-27 12:50:00,Zone_C,0.2
MACHINE_1,2024-04-27 13:36:00,Zone_C,0.96
MACHINE_2,2024-04-27 16:12:00,Zone_B,0.6
MACHINE_2,2024-04-27 22:49:00,Zone_B,0.53
MACHINE_2,2024-04-27 17:21:00,Zone_B,0.2
MACHINE_2,2024-04-27 13:47:00,Zone_B,0.48
MACHINE_3,2024-04-27 16:57:00,Zone_B,0.23
MACHINE_3,2024-04-27 20:17:00,Zone_B,0.5
MACHINE_3,2024-04-27 19:31:00,Zone_B,0.95
MACHINE_4,2024-04-27 20:37:00,Zone_D,0.24
MACHINE_4,2024-04-27 20:42:00,Zone_D,0.23
MACHINE_4,2024-04-27 20:01:00,Zone_D,0.95
MACHINE_5,2024-04-27 20:32:00,Zone_D,0.57
MACHINE_5,2024-04-27 11:21:00,Zone_D,0.99
MACHINE_5,2024-04-27 12:31:00,Zone_D,0.37
MACHINE_5,2024-04-27 12:30:00,Zone_D,0.89
MACHINE_5,2024-04-27 14:22:00,Zone_D,0.86
MACHINE_6,2024-04-27 19:39:00,Zone_A,0.61
MACHINE_6,2024-04-27 15:17:00,Zone_A,0.98
MACHINE_6,2024-04-27 16:50:00,Zone_A,0.59
MACHINE_7,2024-04-27 21:50:00,Zone_A,0.62
MACHINE_7,2024-04-27 13:05:00,Zone_A,0.25
MACHINE_7,2024-04-27 13:07:00,Zone_A,0.63
MACHINE_8,2024-04-27 23:57:00,Zone_B,0.53
MACHINE_8,2024-04-27 19:34:00,Zone_B,0.67
MACHINE_8,2024-04-27 11:06:00,Zone_B,0.93
MACHINE_8,2024-04-27 22:36:00,Zone_B,0.71
MACHINE_9,2024-04-27 11:34:00,Zone_A,0.21
MACHINE_9,2024-04-27 13:34:00,Zone_A,0.53
MACHINE_9,2024-04-27 11:14:00,Zone_A,0.76
MACHINE_9,2024-04-27 11:50:00,Zone_A,0.82
MACHINE_9,2024-04-27 23:55:00,Zone_A,0.86
MACHINE_10,2024-04-27 10:52:00,Zone_C,0.95
MACHINE_10,2024-04-27 14:15:00,Zone_C,0.58
MACHINE_10,2024-04-27 10:59:00,Zone_C,0.84
MACHINE_1,2024-04-28 23:47:00,Zone_C,0.41
MACHINE_1,2024-04-28 16:42:00,Zone_C,0.33
MACHINE_1,2024-04-28 17:02:00,Zone_C,0.39
MACHINE_2,2024-04-28 11:37:00,Zone_B,0.59
MACHINE_2,2024-04-28 19:41:00,Zone_B,0.28
MACHINE_2,2024-04-28 15:48:00,Zone_B,0.98
MACHINE_2,2024-04-28 19:42:00,Zone_B,0.67
MACHINE_2,2024-04-28 16:49:00,Zone_B,0.34
MACHINE_3,2024-04-28 18:51:00,Zone_D,0.61
MACHINE_3,2024-04-28 17:37:00,Zone_D,0.87
MACHINE_3,2024-04-28 16:42:00,Zone_D,0.56
MACHINE_3,2024-04-28 22:34:00,Zone_D,0.47
MACHINE_4,2024-04-28 18:00:00,Zone_B,0.87
MACHINE_4,2024-04-28 14:11:00,Zone_B,0.47
MACHINE_4,2024-04-28 20:41:00,Zone_B,0.58
MACHINE_5,2024-04-28 21:44:00,Zone_B,0.38
MACHINE_5,2024-04-28 14:46:00,Zone_B,0.85
MACHINE_5,2024-04-28 12:49:00,Zone_B,0.68
MACHINE_5,2024-04-28 11:52:00,Zone_B,0.93
MACHINE_5,2024-04-28 20:41:00,Zone_B,0.4
MACHINE_6,2024-04-28 17:11:00,Zone_D,0.83
MACHINE_6,2024-04-28 16:20:00,Zone_D,0.21
MACHINE_6,2024-04-28 18:16:00,Zone_D,0.61
MACHINE_7,2024-04-28 20:10:00,Zone_A,0.44
MACHINE_7,2024-04-28 11:50:00,Zone_A,0.9
MACHINE_7,2024-04-28 19:13:00,Zone_A,0.96
MACHINE_8,2024-04-28 13:11:00,Zone_C,0.76
MACHINE_8,2024-04-28 10:21:00,Zone_C,0.98
MACHINE_8,2024-04-28 18:02:00,Zone_C,0.89
MACHINE_9,2024-04-28 11:54:00,Zone_A,0.86
MACHINE_9,2024-04-28 22:08:00,Zone_A,0.69
MACHINE_9,2024-04-28 14:09:00,Zone_A,0.6
MACHINE_9,2024-04-28 12:01:00,Zone_A,0.75
MACHINE_9,2024-04-28 18:00:00,Zone_A,0.71
MACHINE_10,2024-04-28 17:53:00,Zone_A,0.55
MACHINE_10,2024-04-28 15:32:00,Zone_A,0.96
MACHINE_10,2024-04-28 14:00:00,Zone_A,0.3
MACHINE_1,2024-04-29 12:36:00,Zone_A,0.67
MACHINE_1,2024-04-29 21:06:00,Zone_A,0.91
MACHINE_1,2024-04-29 23:49:00,Zone_A,0.41
MACHINE_1,2024-04-29 16:41:00,Zone_A,0.66
MACHINE_1,2024-04-29 19:59:00,Zone_A,0.7
MACHINE_2,2024-04-29 19:48:00,Zone_A,0.43
MACHINE_2,2024-04-29 11:40:00,Zone_A,0.66
MACHINE_2,2024-04-29 18:07:00,Zone_A,0.79
MACHINE_2,2024-04-29 13:25:00,Zone_A,0.59
MACHINE_3,2024-04-29 14:45:00,Zone_B,0.77
MACHINE_3,2024-04-29 22:37:00,Zone_B,1.0
MACHINE_3,2024-04-29 21:52:00,Zone_B,0.26
MACHINE_3,2024-04-29 20:37:00,Zone_B,0.33
MACHINE_3,2024-04-29 16:07:00,Zone_B,0.41
MACHINE_4,2024-04-29 21:20:00,Zone_D,0.76
MACHINE_4,2024-04-29 23:22:00,Zone_D,0.85
MACHINE_4,2024-04-29 15:16:00,Zone_D,0.64
MACHINE_4,2024-04-29 18:58:00,Zone_D,0.24
MACHINE_5,2024-04-29 12:28:00,Zone_D,0.97
MACHINE_5,2024-04-29 10:04:00,Zone_D,1.0
MACHINE_5,2024-04-29 12:01:00,Zone_D,0.73
MACHINE_5,2024-04-29 17:55:00,Zone_D,0.76
MACHINE_5,2024-04-29 15:58:00,Zone_D,0.61
MACHINE_6,2024-04-29 23:51:00,Zone_A,0.54
MACHINE_6,2024-04-29 15:08:00,Zone_A,0.26
MACHINE_6,2024-04-29 14:49:00,Zone_A,0.82
MACHINE_7,2024-04-29 18:27:00,Zone_C,0.96
MACHINE_7,2024-04-29 14:00:00,Zone_C,0.66
MACHINE_7,2024-04-29 18:00:00,Zone_C,0.42
MACHINE_7,2024-04-29 15:12:00,Zone_C,0.69
MACHINE_8,2024-04-29 11:23:00,Zone_A,0.36
MACHINE_8,2024-04-29 22:10:00,Zone_A,0.94
MACHINE_8,2024-04-29 22:14:00,Zone_A,0.51
MACHINE_9,2024-04-29 17:46:00,Zone_C,0.32
MACHINE_9,2024-04-29 10:34:00,Zone_C,0.99
MACHINE_9,2024-04-29 10:54:00,Zone_C,0.56
MACHINE_9,2024-04-29 20:02:00,Zone_C,0.91
MACHINE_10,2024-04-29 20:32:00,Zone_C,0.91
MACHINE_10,2024-04-29 12:17:00,Zone_C,0.32
MACHINE_10,2024-04-29 16:54:00,Zone_C,0.37
